ID,year,month,tifPath
ID_731818_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_731818_2024_01.tif
ID_790093_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_790093_2024_01.tif
ID_931033_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_931033_2024_01.tif
ID_079024_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_079024_2024_01.tif
ID_691532_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_691532_2024_01.tif
ID_094903_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_094903_2024_01.tif
ID_601980_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_601980_2024_01.tif
ID_766365_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_766365_2024_01.tif
ID_406501_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_406501_2024_01.tif
ID_237616_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_237616_2024_01.tif
ID_351195_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_351195_2024_01.tif
ID_890388_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_890388_2024_01.tif
ID_733526_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_733526_2024_01.tif
ID_712226_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_712226_2024_01.tif
ID_070865_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_070865_2024_01.tif
ID_665410_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_665410_2024_01.tif
ID_679180_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_679180_2024_01.tif
ID_618993_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_618993_2024_01.tif
ID_134762_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_134762_2024_01.tif
ID_043761_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_043761_2024_01.tif
ID_865311_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_865311_2024_01.tif
ID_677850_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_677850_2024_01.tif
ID_403846_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_403846_2024_01.tif
ID_953941_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_953941_2024_01.tif
ID_340832_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_340832_2024_01.tif
ID_052303_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_052303_2024_01.tif
ID_885419_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_885419_2024_01.tif
ID_016218_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_016218_2024_01.tif
ID_722078_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_722078_2024_01.tif
ID_081155_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_081155_2024_01.tif
ID_188407_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_188407_2024_01.tif
ID_026221_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_026221_2024_01.tif
ID_466917_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_466917_2024_01.tif
ID_349397_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_349397_2024_01.tif
ID_461979_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_461979_2024_01.tif
ID_618378_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_618378_2024_01.tif
ID_437057_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_437057_2024_01.tif
ID_619362_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_619362_2024_01.tif
ID_754092_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_754092_2024_01.tif
ID_458757_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_458757_2024_01.tif
ID_489944_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_489944_2024_01.tif
ID_507241_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_507241_2024_01.tif
ID_612065_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_612065_2024_01.tif
ID_907959_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_907959_2024_01.tif
ID_142056_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_142056_2024_01.tif
ID_330489_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_330489_2024_01.tif
ID_693125_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_693125_2024_01.tif
ID_822688_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_822688_2024_01.tif
ID_679009_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_679009_2024_01.tif
ID_863092_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_863092_2024_01.tif
ID_070002_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_070002_2024_01.tif
ID_860103_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_860103_2024_01.tif
ID_490676_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_490676_2024_01.tif
ID_084251_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_084251_2024_01.tif
ID_666194_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_666194_2024_01.tif
ID_791159_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_791159_2024_01.tif
ID_702845_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_702845_2024_01.tif
ID_593466_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_593466_2024_01.tif
ID_107179_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_107179_2024_01.tif
ID_641056_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_641056_2024_01.tif
ID_142344_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_142344_2024_01.tif
ID_284612_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_284612_2024_01.tif
ID_711670_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_711670_2024_01.tif
ID_178114_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_178114_2024_01.tif
ID_628630_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_628630_2024_01.tif
ID_409494_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_409494_2024_01.tif
ID_000167_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_000167_2024_01.tif
ID_093703_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_093703_2024_01.tif
ID_418185_Jan,2024,Jan,/content/drive/MyDrive/test_s2_images_new_final_/s2_Unknown_ID_418185_2024_01.tif
